City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hilo,US,89.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
7,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
18,Vaini,TO,76.26,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Constantine,DZ,76.41,clear sky,36.365,6.6147,Grand Hotel Cirta
25,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
30,Nortelandia,BR,78.13,scattered clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
32,Baracoa,CU,85.87,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
33,Atuona,PF,78.31,scattered clouds,-9.8,-139.0333,Villa Enata
37,Sinnamary,GF,78.19,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
49,Kloulklubed,PW,75.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
58,Butaritari,KI,80.87,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
65,Cayenne,GF,82.44,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
70,Meulaboh,ID,75.63,moderate rain,4.1363,96.1285,Kost Pria
71,Samarai,PG,82.4,overcast clouds,-10.6167,150.6667,Nuli Sapi
72,Puerto Quijarro,BO,79.52,clear sky,-17.7833,-57.7667,Hotel palance
77,Kutum,SD,79.23,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
81,Veraval,IN,80.94,broken clouds,20.9,70.3667,Lords Inn Somnath
95,Chaiyaphum,TH,83.05,overcast clouds,15.75,102.0,BBM Hotel
96,Kieta,PG,82.71,light rain,-6.2167,155.6333,Uruna Bay Retreat
97,Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Hamilton,US,83.25,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
103,Jacareacanga,BR,78.48,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
104,Umm Lajj,SA,86.0,overcast clouds,25.0213,37.2685,Moon light Furnished Units
106,Salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
107,Georgetown,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
