WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khasan,RU,42.4308,130.6434,50.23,96,100,19.77,overcast clouds
1,Dzhebariki-Khaya,RU,62.2167,135.8,70.74,51,19,2.01,few clouds
2,Hilo,US,19.7297,-155.09,89.28,87,100,10.36,overcast clouds
3,Bluff,NZ,-46.6,168.3333,46.8,66,100,11.97,overcast clouds
4,Zhigansk,RU,66.7697,123.3711,59.09,56,48,9.26,scattered clouds
5,Urozhaynoye,RU,44.7883,44.9228,69.67,50,100,7.05,overcast clouds
6,Rawson,AR,-43.3002,-65.1023,50.22,59,22,7.14,few clouds
7,Port-Gentil,GA,-0.7193,8.7815,75.16,94,20,2.3,few clouds
8,Albany,US,42.6001,-73.9662,72.01,42,27,11.99,scattered clouds
9,Ulaangom,MN,49.9811,92.0667,55.13,45,75,3.91,broken clouds
10,Bengkulu,ID,-3.8004,102.2655,74.71,87,99,3.58,light rain
11,Saint George,US,37.1041,-113.5841,90.19,16,0,10.36,clear sky
12,Ushuaia,AR,-54.8,-68.3,37.06,60,20,9.22,few clouds
13,Punta Arenas,CL,-53.15,-70.9167,41.11,76,100,22.59,overcast clouds
14,Ribeira Grande,PT,38.5167,-28.7,64.85,92,77,12.21,broken clouds
15,Saint-Pierre,RE,-21.3393,55.4781,73.08,68,75,17.27,broken clouds
16,Mataura,NZ,-46.1927,168.8643,46.47,73,100,5.35,overcast clouds
17,Morondava,MG,-20.2833,44.2833,70.43,67,0,8.37,clear sky
18,Vaini,TO,-21.2,-175.2,76.26,78,19,11.54,few clouds
19,Saskylakh,RU,71.9167,114.0833,32.45,92,99,7.23,overcast clouds
20,Rikitea,PF,-23.1203,-134.9692,72.43,82,100,8.59,moderate rain
21,Eregli,TR,37.5133,34.0467,65.62,63,5,2.46,clear sky
22,Sisimiut,GL,66.9395,-53.6735,49.96,42,3,17.18,clear sky
23,Constantine,DZ,36.365,6.6147,76.41,60,0,1.14,clear sky
24,Udachnyy,RU,66.4167,112.4,52.21,34,24,13.6,few clouds
25,San Cristobal,VE,7.7669,-72.225,78.98,94,85,4.79,overcast clouds
26,Galesong,ID,-5.3166,119.3661,71.62,83,62,4.45,broken clouds
27,Qaanaaq,GL,77.484,-69.3632,29.14,79,97,3.13,overcast clouds
28,Hobart,AU,-42.8794,147.3294,46.26,93,75,17.27,shower rain
29,Busselton,AU,-33.65,115.3333,55.17,84,93,6.71,overcast clouds
30,Nortelandia,BR,-14.4547,-56.8028,78.13,47,28,1.77,scattered clouds
31,Port Hedland,AU,-20.3167,118.5667,62.65,72,5,6.91,clear sky
32,Baracoa,CU,20.3467,-74.4958,85.87,58,99,8.81,overcast clouds
33,Atuona,PF,-9.8,-139.0333,78.31,74,32,15.17,scattered clouds
34,Macamic,CA,48.7502,-78.9996,44.53,95,100,12.17,overcast clouds
35,East London,ZA,-33.0153,27.9116,63.43,68,86,14.52,overcast clouds
36,Iisalmi,FI,63.5592,27.1907,47.01,92,50,4.47,scattered clouds
37,Sinnamary,GF,5.3833,-52.95,78.19,87,94,9.26,overcast clouds
38,Yulara,AU,-25.2406,130.9889,49.33,59,0,7.87,clear sky
39,Hofn,IS,64.2539,-15.2082,47.57,59,0,4.43,clear sky
40,Frontignan,FR,43.4485,3.754,73.35,79,2,0.56,clear sky
41,Tasiilaq,GL,65.6145,-37.6368,37.56,67,45,7.76,scattered clouds
42,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.32,71,51,11.95,broken clouds
43,Egvekinot,RU,66.3167,-179.1667,36.95,67,95,2.28,overcast clouds
44,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,78,0,16.11,clear sky
45,Kodinsk,RU,58.6881,99.1844,39.51,84,100,1.95,overcast clouds
46,Thompson,CA,55.7435,-97.8558,48.36,66,75,9.22,broken clouds
47,Kayerkan,RU,69.3497,87.7602,26.53,86,100,26.24,overcast clouds
48,Berlevag,NO,70.8578,29.0864,46.4,93,100,5.75,overcast clouds
49,Kloulklubed,PW,7.0419,134.2556,75.7,70,41,5.19,scattered clouds
50,Ust-Kuyga,RU,70.0167,135.6,66.67,50,85,3.69,overcast clouds
51,Aswan,EG,24.0934,32.907,90.45,13,64,11.81,broken clouds
52,Maarianhamina,AX,60.0973,19.9348,49.86,87,0,5.75,clear sky
53,Provideniya,RU,64.3833,-173.3,53.47,50,62,4.5,broken clouds
54,Vredendal,ZA,-31.6683,18.5012,56.82,35,72,2.8,broken clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,100,10.36,overcast clouds
56,Port Alfred,ZA,-33.5906,26.891,59.18,87,100,1.99,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,52.81,98,31,5.86,scattered clouds
58,Butaritari,KI,3.0707,172.7902,80.87,70,87,8.75,overcast clouds
59,Hermanus,ZA,-34.4187,19.2345,59.81,83,100,12.21,overcast clouds
60,Ola,RU,59.5833,151.2833,48.99,84,96,1.03,overcast clouds
61,Tobermory,CA,45.2501,-81.6665,47.84,72,0,14.56,clear sky
62,Carnarvon,AU,-24.8667,113.6333,67.44,42,100,15.52,overcast clouds
63,Mar Del Plata,AR,-38.0023,-57.5575,55.09,80,0,4.61,light rain
64,Vestmannaeyjar,IS,63.4427,-20.2734,48.61,67,59,6.98,broken clouds
65,Cayenne,GF,4.9333,-52.3333,82.44,1,93,5.75,heavy intensity rain
66,Broome,US,42.2506,-75.833,69.35,40,0,13.8,clear sky
67,Inirida,CO,3.8653,-67.9239,71.87,97,100,1.45,overcast clouds
68,Santa Fe,AR,-31.6333,-60.7,57.02,75,2,1.99,clear sky
69,Dunedin,NZ,-45.8742,170.5036,49.8,72,91,21.99,overcast clouds
70,Meulaboh,ID,4.1363,96.1285,75.63,90,96,4.03,moderate rain
71,Samarai,PG,-10.6167,150.6667,82.4,76,90,11.99,overcast clouds
72,Puerto Quijarro,BO,-17.7833,-57.7667,79.52,45,2,1.57,clear sky
73,Ust-Ilimsk,RU,58.0006,102.6619,45.88,88,99,1.39,overcast clouds
74,Margate,GB,51.3813,1.3862,56.1,86,100,7.0,overcast clouds
75,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,40,16.11,light rain
76,Port Lincoln,AU,-34.7333,135.8667,53.71,65,60,25.75,broken clouds
77,Kutum,SD,14.2,24.6667,79.23,20,78,4.59,broken clouds
78,Barrow,US,71.2906,-156.7887,28.42,86,100,26.46,overcast clouds
79,Dedougou,BF,12.4667,-3.4667,93.49,26,17,6.33,few clouds
80,Marsh Harbour,BS,26.5412,-77.0636,74.88,83,100,30.11,moderate rain
81,Veraval,IN,20.9,70.3667,80.94,82,79,11.32,broken clouds
82,Yellowknife,CA,62.456,-114.3525,73.56,27,12,17.0,few clouds
83,Khatanga,RU,71.9667,102.5,27.18,88,100,13.82,light snow
84,Leningradskiy,RU,69.3833,178.4167,35.38,75,99,4.9,overcast clouds
85,Nemuro,JP,43.3236,145.575,44.73,94,100,20.69,light rain
86,Santa Lucia,ES,27.9117,-15.5407,61.92,68,20,23.02,few clouds
87,Cape Town,ZA,-33.9258,18.4232,60.91,85,100,13.0,overcast clouds
88,Necochea,AR,-38.5473,-58.7368,48.92,72,100,8.79,overcast clouds
89,Baghdad,IQ,33.3406,44.4009,99.19,9,100,5.7,overcast clouds
90,Dharchula,IN,29.85,80.5333,69.78,26,56,7.45,broken clouds
91,Bainbridge,US,47.6262,-122.5212,73.83,63,75,9.22,light rain
92,Saint-Philippe,RE,-21.3585,55.7679,72.99,79,46,14.74,light rain
93,Pueblo Nuevo,MX,23.3833,-105.3833,66.96,69,31,3.09,scattered clouds
94,New Norfolk,AU,-42.7826,147.0587,45.9,88,100,0.81,light rain
95,Chaiyaphum,TH,15.75,102.0,83.05,86,100,6.53,overcast clouds
96,Kieta,PG,-6.2167,155.6333,82.71,73,44,3.74,light rain
97,Kapaa,US,22.0752,-159.319,81.48,70,0,10.36,clear sky
98,Tura,IN,25.5198,90.2201,71.71,95,73,5.39,light rain
