City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lewisporte,49.2499,-55.0482,49.71,51,47,8.84,CA,2022-05-24 17:27:13
1,Ilulissat,69.2167,-51.1,26.62,68,75,12.66,GL,2022-05-24 17:25:52
2,Mancora,-4.1078,-81.0475,77.56,61,5,7.65,PE,2022-05-24 17:27:13
3,Nelson Bay,-32.7167,152.15,55.0,99,33,1.01,AU,2022-05-24 17:26:03
4,Busselton,-33.65,115.3333,59.23,77,21,3.67,AU,2022-05-24 17:26:00
5,Tasiilaq,65.6145,-37.6368,33.96,99,100,5.32,GL,2022-05-24 17:27:14
6,Faanui,-16.4833,-151.75,80.94,71,6,17.07,PF,2022-05-24 17:25:56
7,Ushuaia,-54.8,-68.3,38.82,70,40,24.16,AR,2022-05-24 17:21:19
8,Khatanga,71.9667,102.5,31.28,82,100,3.69,RU,2022-05-24 17:27:15
9,Jamestown,42.097,-79.2353,70.02,49,75,5.75,US,2022-05-24 17:25:52
10,Jalu,29.0331,21.5482,91.26,8,0,8.95,LY,2022-05-24 17:27:15
11,Valparaiso,-33.0393,-71.6273,68.23,76,0,9.22,CL,2022-05-24 17:25:19
12,Bredasdorp,-34.5322,20.0403,60.76,83,100,5.88,ZA,2022-05-24 17:26:05
13,Amposta,40.7131,0.581,63.23,88,100,12.39,ES,2022-05-24 17:27:16
14,Alofi,-19.0595,-169.9187,66.09,100,61,2.3,NU,2022-05-24 17:27:16
15,Punta Arenas,-53.15,-70.9167,41.11,65,40,11.5,CL,2022-05-24 17:23:14
16,Barrow,71.2906,-156.7887,26.62,93,100,9.22,US,2022-05-24 17:26:02
17,Koslan,63.4564,48.8989,45.14,71,100,5.66,RU,2022-05-24 17:27:17
18,Butaritari,3.0707,172.7902,81.37,78,26,12.86,KI,2022-05-24 17:27:17
19,Saskylakh,71.9167,114.0833,30.72,97,98,11.03,RU,2022-05-24 17:27:17
20,Tiksi,71.6872,128.8694,30.63,99,100,6.51,RU,2022-05-24 17:27:19
21,Port Elizabeth,-33.918,25.5701,66.09,88,75,14.97,ZA,2022-05-24 17:27:19
22,Vila Velha,-20.3297,-40.2925,73.35,78,75,4.61,BR,2022-05-24 17:27:20
23,Marolambo,-20.05,48.1167,64.47,97,20,1.19,MG,2022-05-24 17:27:20
24,Sabang,5.8933,95.3214,84.45,77,85,22.08,ID,2022-05-24 17:27:20
25,Ulladulla,-35.35,150.4667,54.05,86,58,4.16,AU,2022-05-24 17:27:21
26,Vestmannaeyjar,63.4427,-20.2734,45.59,87,100,5.75,IS,2022-05-24 17:27:21
27,Shiyan,32.6475,110.7781,68.97,76,44,2.17,CN,2022-05-24 17:27:21
28,Rikitea,-23.1203,-134.9692,76.08,73,54,6.02,PF,2022-05-24 17:23:12
29,Upernavik,72.7868,-56.1549,22.57,68,100,5.97,GL,2022-05-24 17:26:04
30,Uray,60.1247,64.7758,50.11,83,93,4.34,RU,2022-05-24 17:27:26
31,Matveyevka,52.15,56.1833,53.83,96,100,5.75,RU,2022-05-24 17:27:27
32,Nikolskoye,59.7035,30.7861,55.29,53,96,5.3,RU,2022-05-24 17:27:27
33,Saldanha,-33.0117,17.9442,62.65,91,100,6.35,ZA,2022-05-24 17:27:27
34,Iqaluit,63.7506,-68.5145,22.73,85,100,15.01,CA,2022-05-24 17:27:28
35,Kokopo,-4.352,152.2633,77.36,85,95,4.05,PG,2022-05-24 17:27:28
36,Tuy Hoa,13.0833,109.3,79.39,85,100,4.36,VN,2022-05-24 17:27:28
37,Tuktoyaktuk,69.4541,-133.0374,42.8,45,40,17.27,CA,2022-05-24 17:27:29
38,Vesyegonsk,58.664,37.2604,40.17,69,100,6.76,RU,2022-05-24 17:27:29
39,Atuona,-9.8,-139.0333,78.06,72,27,17.13,PF,2022-05-24 17:27:29
40,Avarua,-21.2078,-159.775,78.85,83,75,10.36,CK,2022-05-24 17:27:30
41,Kavaratti,10.5669,72.642,83.55,78,74,10.71,IN,2022-05-24 17:27:30
42,Kutum,14.2,24.6667,86.59,10,22,11.83,SD,2022-05-24 17:27:30
43,Qaanaaq,77.484,-69.3632,29.12,77,61,3.58,GL,2022-05-24 17:27:31
44,Arraial Do Cabo,-22.9661,-42.0278,76.96,73,75,16.11,BR,2022-05-24 17:28:32
45,Airai,-8.9266,125.4092,61.0,95,96,1.86,TL,2022-05-24 17:24:13
46,Marzuq,14.4,46.4667,81.86,34,85,7.58,YE,2022-05-24 17:28:32
47,Mar Del Plata,-38.0023,-57.5575,53.94,81,75,8.05,AR,2022-05-24 17:28:32
48,Chancay,-11.5714,-77.2672,67.8,71,52,8.59,PE,2022-05-24 17:28:33
49,Ginda,30.6945,78.4932,52.77,77,5,6.69,IN,2022-05-24 17:28:33
50,Bluff,-46.6,168.3333,50.81,64,67,28.45,NZ,2022-05-24 17:26:01
51,Nargana,9.4428,-78.5906,84.45,72,88,4.05,PA,2022-05-24 17:28:33
52,Hilo,19.7297,-155.09,76.28,89,75,4.61,US,2022-05-24 17:25:29
53,Tamiahua,21.2667,-97.45,86.47,66,100,15.32,MX,2022-05-24 17:28:34
54,Hobart,-42.8794,147.3294,40.26,94,0,9.22,AU,2022-05-24 17:26:19
55,Lompoc,34.6391,-120.4579,72.84,81,0,6.91,US,2022-05-24 17:28:34
56,Carnarvon,-24.8667,113.6333,68.38,62,53,10.85,AU,2022-05-24 17:25:53
57,Leningradskiy,69.3833,178.4167,39.69,72,17,7.38,RU,2022-05-24 17:25:59
58,Cagdianao,9.9211,125.6692,81.93,75,97,5.23,PH,2022-05-24 17:28:35
59,Bambanglipuro,-7.95,110.2833,78.04,84,96,3.89,ID,2022-05-24 17:28:35
60,New Norfolk,-42.7826,147.0587,39.9,89,2,2.84,AU,2022-05-24 17:28:36
61,Chuka,-0.3332,37.6459,66.02,62,31,3.51,KE,2022-05-24 17:28:36
62,Muravlenko,63.7898,74.523,54.75,59,100,1.7,RU,2022-05-24 17:28:36
63,Huarmey,-10.0681,-78.1522,70.03,71,11,11.99,PE,2022-05-24 17:28:37
64,Bima,-8.4667,118.7167,75.74,91,96,3.78,ID,2022-05-24 17:28:37
65,Thompson,55.7435,-97.8558,39.36,41,20,8.05,CA,2022-05-24 17:26:06
66,Nurota,40.5614,65.6886,76.91,32,59,8.28,UZ,2022-05-24 17:28:37
67,Adrar,20.5022,-10.0711,104.81,6,0,7.43,MR,2022-05-24 17:28:38
68,Luderitz,-26.6481,15.1594,60.66,70,1,7.07,NA,2022-05-24 17:28:38
69,Puerto Ayora,-0.7393,-90.3518,84.16,89,74,4.0,EC,2022-05-24 17:28:38
70,Tarko-Sale,64.9225,77.785,56.19,49,94,3.33,RU,2022-05-24 17:28:39
71,College,64.8569,-147.8028,53.2,44,20,4.61,US,2022-05-24 17:28:39
72,Hermanus,-34.4187,19.2345,59.81,88,100,8.37,ZA,2022-05-24 17:25:54
73,High Level,58.5169,-117.136,50.11,50,100,8.05,CA,2022-05-24 17:28:40
74,Lebu,-37.6167,-73.65,52.61,77,92,5.26,CL,2022-05-24 17:25:57
75,Norman Wells,65.282,-126.8329,50.04,43,20,12.66,CA,2022-05-24 17:24:01
76,Mataura,-46.1927,168.8643,50.49,87,93,11.07,NZ,2022-05-24 17:25:58
77,Lasa,46.6166,10.7002,63.48,87,100,4.18,IT,2022-05-24 17:25:59
78,Noumea,-22.2763,166.4572,75.99,99,100,8.03,NC,2022-05-24 17:28:40
79,Kavieng,-2.5744,150.7967,80.92,74,94,11.61,PG,2022-05-24 17:28:42
80,Saint-Philippe,-21.3585,55.7679,71.19,79,46,10.63,RE,2022-05-24 17:28:43
81,Beihai,21.4833,109.1,79.07,90,100,8.72,CN,2022-05-24 17:28:43
82,Severo-Yeniseyskiy,60.3725,93.0408,50.86,72,63,5.5,RU,2022-05-24 17:28:43
83,San Quintin,30.4833,-115.95,64.04,66,61,6.76,MX,2022-05-24 17:28:44
84,Cayenne,4.9333,-52.3333,86.04,24,40,13.8,GF,2022-05-24 17:25:52
85,Techiman,7.5862,-1.9414,76.21,88,97,4.79,GH,2022-05-24 17:28:44
86,Vilyuysk,63.7553,121.6247,42.49,64,100,2.51,RU,2022-05-24 17:28:45
87,Dargaville,-35.9333,173.8833,56.53,78,84,8.95,NZ,2022-05-24 17:28:45
88,Vila Franca Do Campo,37.7167,-25.4333,64.81,64,8,7.09,PT,2022-05-24 17:28:45
89,Sarapul,56.4763,53.7978,45.72,71,74,1.81,RU,2022-05-24 17:29:46
90,Auki,-8.7676,160.7034,76.93,88,30,2.51,SB,2022-05-24 17:29:46
91,Waingapu,-9.6567,120.2641,77.77,82,49,8.79,ID,2022-05-24 17:29:46
92,Constitucion,-35.3333,-72.4167,57.7,73,92,5.39,CL,2022-05-24 17:29:47
93,Saint George,37.1041,-113.5841,78.8,11,0,5.01,US,2022-05-24 17:29:47
